IntervalTime:16.000000, sinkNodeId:27, sId:1, startTime:22.000000, arriveTime:38.000000
IntervalTime:8.000000, sinkNodeId:27, sId:1, startTime:31.000000, arriveTime:39.000000
IntervalTime:14.000000, sinkNodeId:27, sId:2, startTime:25.000000, arriveTime:39.000000
IntervalTime:12.000000, sinkNodeId:27, sId:2, startTime:27.000000, arriveTime:39.000000
IntervalTime:13.000000, sinkNodeId:27, sId:2, startTime:26.000000, arriveTime:39.000000
IntervalTime:17.000000, sinkNodeId:27, sId:1, startTime:22.000000, arriveTime:39.000000
IntervalTime:4.000000, sinkNodeId:27, sId:1, startTime:36.000000, arriveTime:40.000000
IntervalTime:17.000000, sinkNodeId:27, sId:2, startTime:23.000000, arriveTime:40.000000
IntervalTime:11.000000, sinkNodeId:27, sId:2, startTime:29.000000, arriveTime:40.000000
IntervalTime:17.000000, sinkNodeId:27, sId:2, startTime:23.000000, arriveTime:40.000000
IntervalTime:24.000000, sinkNodeId:27, sId:1, startTime:16.000000, arriveTime:40.000000
IntervalTime:5.000000, sinkNodeId:27, sId:1, startTime:36.000000, arriveTime:41.000000
IntervalTime:14.000000, sinkNodeId:27, sId:2, startTime:27.000000, arriveTime:41.000000
IntervalTime:11.000000, sinkNodeId:27, sId:2, startTime:30.000000, arriveTime:41.000000
IntervalTime:39.000000, sinkNodeId:27, sId:2, startTime:2.000000, arriveTime:41.000000
IntervalTime:10.000000, sinkNodeId:27, sId:1, startTime:31.000000, arriveTime:41.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:36.000000, arriveTime:42.000000
IntervalTime:23.000000, sinkNodeId:27, sId:2, startTime:19.000000, arriveTime:42.000000
IntervalTime:19.000000, sinkNodeId:27, sId:1, startTime:23.000000, arriveTime:42.000000
IntervalTime:29.000000, sinkNodeId:27, sId:2, startTime:13.000000, arriveTime:42.000000
IntervalTime:5.000000, sinkNodeId:27, sId:1, startTime:38.000000, arriveTime:43.000000
IntervalTime:30.000000, sinkNodeId:27, sId:1, startTime:13.000000, arriveTime:43.000000
IntervalTime:27.000000, sinkNodeId:27, sId:1, startTime:16.000000, arriveTime:43.000000
IntervalTime:9.000000, sinkNodeId:27, sId:2, startTime:34.000000, arriveTime:43.000000
IntervalTime:1.000000, sinkNodeId:27, sId:1, startTime:43.000000, arriveTime:44.000000
IntervalTime:25.000000, sinkNodeId:27, sId:1, startTime:19.000000, arriveTime:44.000000
IntervalTime:15.000000, sinkNodeId:27, sId:1, startTime:29.000000, arriveTime:44.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:39.000000, arriveTime:45.000000
IntervalTime:25.000000, sinkNodeId:27, sId:1, startTime:20.000000, arriveTime:45.000000
IntervalTime:22.000000, sinkNodeId:27, sId:1, startTime:23.000000, arriveTime:45.000000
IntervalTime:44.000000, sinkNodeId:27, sId:1, startTime:1.000000, arriveTime:45.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:40.000000, arriveTime:46.000000
IntervalTime:23.000000, sinkNodeId:27, sId:1, startTime:23.000000, arriveTime:46.000000
IntervalTime:22.000000, sinkNodeId:27, sId:1, startTime:24.000000, arriveTime:46.000000
IntervalTime:29.000000, sinkNodeId:27, sId:1, startTime:17.000000, arriveTime:46.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:41.000000, arriveTime:47.000000
IntervalTime:22.000000, sinkNodeId:27, sId:1, startTime:25.000000, arriveTime:47.000000
IntervalTime:10.000000, sinkNodeId:27, sId:1, startTime:37.000000, arriveTime:47.000000
IntervalTime:35.000000, sinkNodeId:27, sId:1, startTime:12.000000, arriveTime:47.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:41.000000, arriveTime:48.000000
IntervalTime:20.000000, sinkNodeId:27, sId:2, startTime:28.000000, arriveTime:48.000000
IntervalTime:11.000000, sinkNodeId:27, sId:1, startTime:37.000000, arriveTime:48.000000
IntervalTime:15.000000, sinkNodeId:27, sId:1, startTime:33.000000, arriveTime:48.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:43.000000, arriveTime:49.000000
IntervalTime:32.000000, sinkNodeId:27, sId:2, startTime:17.000000, arriveTime:49.000000
IntervalTime:20.000000, sinkNodeId:27, sId:1, startTime:29.000000, arriveTime:49.000000
IntervalTime:30.000000, sinkNodeId:27, sId:1, startTime:19.000000, arriveTime:49.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:44.000000, arriveTime:50.000000
IntervalTime:26.000000, sinkNodeId:27, sId:2, startTime:24.000000, arriveTime:50.000000
IntervalTime:22.000000, sinkNodeId:27, sId:1, startTime:28.000000, arriveTime:50.000000
IntervalTime:29.000000, sinkNodeId:27, sId:1, startTime:21.000000, arriveTime:50.000000
IntervalTime:8.000000, sinkNodeId:27, sId:1, startTime:43.000000, arriveTime:51.000000
IntervalTime:21.000000, sinkNodeId:27, sId:2, startTime:30.000000, arriveTime:51.000000
IntervalTime:26.000000, sinkNodeId:27, sId:1, startTime:25.000000, arriveTime:51.000000
IntervalTime:13.000000, sinkNodeId:27, sId:1, startTime:38.000000, arriveTime:51.000000
IntervalTime:34.000000, sinkNodeId:27, sId:1, startTime:17.000000, arriveTime:51.000000
IntervalTime:11.000000, sinkNodeId:27, sId:1, startTime:41.000000, arriveTime:52.000000
IntervalTime:21.000000, sinkNodeId:27, sId:2, startTime:31.000000, arriveTime:52.000000
IntervalTime:18.000000, sinkNodeId:27, sId:1, startTime:34.000000, arriveTime:52.000000
IntervalTime:35.000000, sinkNodeId:27, sId:1, startTime:17.000000, arriveTime:52.000000
IntervalTime:37.000000, sinkNodeId:27, sId:1, startTime:15.000000, arriveTime:52.000000
IntervalTime:4.000000, sinkNodeId:27, sId:1, startTime:49.000000, arriveTime:53.000000
IntervalTime:26.000000, sinkNodeId:27, sId:2, startTime:27.000000, arriveTime:53.000000
IntervalTime:35.000000, sinkNodeId:27, sId:1, startTime:18.000000, arriveTime:53.000000
IntervalTime:22.000000, sinkNodeId:27, sId:1, startTime:31.000000, arriveTime:53.000000
IntervalTime:49.000000, sinkNodeId:27, sId:2, startTime:4.000000, arriveTime:53.000000
IntervalTime:22.000000, sinkNodeId:27, sId:1, startTime:31.000000, arriveTime:53.000000
IntervalTime:10.000000, sinkNodeId:27, sId:1, startTime:44.000000, arriveTime:54.000000
IntervalTime:21.000000, sinkNodeId:27, sId:2, startTime:33.000000, arriveTime:54.000000
IntervalTime:37.000000, sinkNodeId:27, sId:1, startTime:17.000000, arriveTime:54.000000
IntervalTime:9.000000, sinkNodeId:27, sId:1, startTime:45.000000, arriveTime:54.000000
IntervalTime:25.000000, sinkNodeId:27, sId:2, startTime:29.000000, arriveTime:54.000000
IntervalTime:33.000000, sinkNodeId:27, sId:1, startTime:21.000000, arriveTime:54.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:48.000000, arriveTime:55.000000
IntervalTime:31.000000, sinkNodeId:27, sId:2, startTime:24.000000, arriveTime:55.000000
IntervalTime:32.000000, sinkNodeId:27, sId:2, startTime:23.000000, arriveTime:55.000000
IntervalTime:21.000000, sinkNodeId:27, sId:2, startTime:34.000000, arriveTime:55.000000
IntervalTime:17.000000, sinkNodeId:27, sId:1, startTime:38.000000, arriveTime:55.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:49.000000, arriveTime:56.000000
IntervalTime:22.000000, sinkNodeId:27, sId:2, startTime:34.000000, arriveTime:56.000000
IntervalTime:43.000000, sinkNodeId:27, sId:2, startTime:13.000000, arriveTime:56.000000
IntervalTime:14.000000, sinkNodeId:27, sId:2, startTime:42.000000, arriveTime:56.000000
IntervalTime:36.000000, sinkNodeId:27, sId:1, startTime:20.000000, arriveTime:56.000000
IntervalTime:17.000000, sinkNodeId:27, sId:1, startTime:39.000000, arriveTime:56.000000
IntervalTime:5.000000, sinkNodeId:27, sId:1, startTime:52.000000, arriveTime:57.000000
IntervalTime:32.000000, sinkNodeId:27, sId:2, startTime:25.000000, arriveTime:57.000000
IntervalTime:50.000000, sinkNodeId:27, sId:2, startTime:7.000000, arriveTime:57.000000
IntervalTime:28.000000, sinkNodeId:27, sId:2, startTime:29.000000, arriveTime:57.000000
IntervalTime:19.000000, sinkNodeId:27, sId:1, startTime:38.000000, arriveTime:57.000000
IntervalTime:31.000000, sinkNodeId:27, sId:1, startTime:26.000000, arriveTime:57.000000
IntervalTime:5.000000, sinkNodeId:27, sId:1, startTime:53.000000, arriveTime:58.000000
IntervalTime:26.000000, sinkNodeId:27, sId:2, startTime:32.000000, arriveTime:58.000000
IntervalTime:37.000000, sinkNodeId:27, sId:2, startTime:21.000000, arriveTime:58.000000
IntervalTime:20.000000, sinkNodeId:27, sId:2, startTime:38.000000, arriveTime:58.000000
IntervalTime:14.000000, sinkNodeId:27, sId:1, startTime:44.000000, arriveTime:58.000000
IntervalTime:23.000000, sinkNodeId:27, sId:1, startTime:35.000000, arriveTime:58.000000
