time:81.000000, sinkNodeId:27, sId:1, number:1
time:81.000000, sinkNodeId:27, sId:1, number:1
time:81.000000, sinkNodeId:27, sId:1, number:1
time:82.000000, sinkNodeId:27, sId:1, number:3
time:82.000000, sinkNodeId:27, sId:2, number:1
time:82.000000, sinkNodeId:27, sId:2, number:1
time:82.000000, sinkNodeId:27, sId:1, number:1
time:82.000000, sinkNodeId:27, sId:2, number:1
time:82.000000, sinkNodeId:27, sId:1, number:1
time:83.000000, sinkNodeId:27, sId:1, number:5
time:83.000000, sinkNodeId:27, sId:2, number:1
time:83.000000, sinkNodeId:27, sId:2, number:1
time:83.000000, sinkNodeId:27, sId:1, number:1
time:83.000000, sinkNodeId:27, sId:2, number:1
time:83.000000, sinkNodeId:27, sId:1, number:1
time:84.000000, sinkNodeId:27, sId:1, number:4
time:84.000000, sinkNodeId:27, sId:2, number:1
time:84.000000, sinkNodeId:27, sId:2, number:1
time:84.000000, sinkNodeId:27, sId:1, number:1
time:84.000000, sinkNodeId:27, sId:1, number:1
time:84.000000, sinkNodeId:27, sId:1, number:1
time:85.000000, sinkNodeId:27, sId:1, number:6
time:85.000000, sinkNodeId:27, sId:2, number:1
time:85.000000, sinkNodeId:27, sId:2, number:1
time:85.000000, sinkNodeId:27, sId:1, number:1
time:85.000000, sinkNodeId:27, sId:2, number:1
time:85.000000, sinkNodeId:27, sId:1, number:1
time:86.000000, sinkNodeId:27, sId:1, number:5
time:86.000000, sinkNodeId:27, sId:2, number:2
time:86.000000, sinkNodeId:27, sId:2, number:1
time:86.000000, sinkNodeId:27, sId:1, number:1
time:86.000000, sinkNodeId:27, sId:2, number:1
time:86.000000, sinkNodeId:27, sId:1, number:1
time:87.000000, sinkNodeId:27, sId:1, number:4
time:87.000000, sinkNodeId:27, sId:2, number:2
time:87.000000, sinkNodeId:27, sId:2, number:1
time:87.000000, sinkNodeId:27, sId:1, number:1
time:87.000000, sinkNodeId:27, sId:1, number:1
time:87.000000, sinkNodeId:27, sId:1, number:1
time:88.000000, sinkNodeId:27, sId:1, number:4
time:88.000000, sinkNodeId:27, sId:2, number:2
time:88.000000, sinkNodeId:27, sId:2, number:1
time:88.000000, sinkNodeId:27, sId:1, number:1
time:88.000000, sinkNodeId:27, sId:2, number:1
time:88.000000, sinkNodeId:27, sId:1, number:1
time:89.000000, sinkNodeId:27, sId:1, number:6
time:89.000000, sinkNodeId:27, sId:2, number:1
time:89.000000, sinkNodeId:27, sId:2, number:1
time:89.000000, sinkNodeId:27, sId:1, number:1
time:89.000000, sinkNodeId:27, sId:2, number:1
time:89.000000, sinkNodeId:27, sId:1, number:1
time:90.000000, sinkNodeId:27, sId:1, number:5
time:90.000000, sinkNodeId:27, sId:2, number:1
time:90.000000, sinkNodeId:27, sId:2, number:1
time:90.000000, sinkNodeId:27, sId:1, number:1
time:90.000000, sinkNodeId:27, sId:2, number:1
time:90.000000, sinkNodeId:27, sId:1, number:1
time:91.000000, sinkNodeId:27, sId:1, number:5
time:91.000000, sinkNodeId:27, sId:2, number:1
time:91.000000, sinkNodeId:27, sId:1, number:1
time:91.000000, sinkNodeId:27, sId:2, number:1
time:91.000000, sinkNodeId:27, sId:1, number:1
time:92.000000, sinkNodeId:27, sId:1, number:6
time:92.000000, sinkNodeId:27, sId:2, number:1
time:92.000000, sinkNodeId:27, sId:1, number:1
time:92.000000, sinkNodeId:27, sId:2, number:1
time:92.000000, sinkNodeId:27, sId:1, number:1
time:93.000000, sinkNodeId:27, sId:1, number:5
time:93.000000, sinkNodeId:27, sId:2, number:1
time:93.000000, sinkNodeId:27, sId:1, number:1
time:93.000000, sinkNodeId:27, sId:2, number:1
time:93.000000, sinkNodeId:27, sId:1, number:1
time:94.000000, sinkNodeId:27, sId:1, number:4
time:94.000000, sinkNodeId:27, sId:2, number:1
time:94.000000, sinkNodeId:27, sId:2, number:1
time:94.000000, sinkNodeId:27, sId:1, number:1
time:94.000000, sinkNodeId:27, sId:2, number:1
time:94.000000, sinkNodeId:27, sId:1, number:1
time:95.000000, sinkNodeId:27, sId:1, number:5
time:95.000000, sinkNodeId:27, sId:2, number:1
time:95.000000, sinkNodeId:27, sId:2, number:1
time:95.000000, sinkNodeId:27, sId:1, number:1
time:95.000000, sinkNodeId:27, sId:2, number:1
time:95.000000, sinkNodeId:27, sId:1, number:1
time:96.000000, sinkNodeId:27, sId:1, number:4
time:96.000000, sinkNodeId:27, sId:2, number:1
time:96.000000, sinkNodeId:27, sId:2, number:1
time:96.000000, sinkNodeId:27, sId:1, number:1
time:96.000000, sinkNodeId:27, sId:2, number:1
time:96.000000, sinkNodeId:27, sId:1, number:1
time:97.000000, sinkNodeId:27, sId:1, number:4
time:97.000000, sinkNodeId:27, sId:2, number:1
time:97.000000, sinkNodeId:27, sId:2, number:1
time:97.000000, sinkNodeId:27, sId:1, number:1
time:97.000000, sinkNodeId:27, sId:2, number:1
time:97.000000, sinkNodeId:27, sId:1, number:1
time:98.000000, sinkNodeId:27, sId:1, number:3
time:98.000000, sinkNodeId:27, sId:2, number:1
time:98.000000, sinkNodeId:27, sId:2, number:1
time:98.000000, sinkNodeId:27, sId:1, number:1
time:98.000000, sinkNodeId:27, sId:2, number:1
time:98.000000, sinkNodeId:27, sId:1, number:1
time:99.000000, sinkNodeId:27, sId:1, number:4
time:99.000000, sinkNodeId:27, sId:2, number:1
time:99.000000, sinkNodeId:27, sId:2, number:1
time:99.000000, sinkNodeId:27, sId:1, number:1
time:99.000000, sinkNodeId:27, sId:2, number:1
time:99.000000, sinkNodeId:27, sId:1, number:1
time:100.000000, sinkNodeId:27, sId:1, number:4
time:100.000000, sinkNodeId:27, sId:2, number:1
time:100.000000, sinkNodeId:27, sId:1, number:1
time:100.000000, sinkNodeId:27, sId:2, number:1
time:100.000000, sinkNodeId:27, sId:1, number:1
time:101.000000, sinkNodeId:27, sId:1, number:6
time:101.000000, sinkNodeId:27, sId:2, number:1
time:101.000000, sinkNodeId:27, sId:2, number:1
time:101.000000, sinkNodeId:27, sId:1, number:1
time:101.000000, sinkNodeId:27, sId:2, number:1
time:101.000000, sinkNodeId:27, sId:1, number:1
time:102.000000, sinkNodeId:27, sId:1, number:5
